 124.012 1.14787 2.12229e+06 2.12229e+06 2 0.1        0.1          0  TikhGCV SYNA_synthetic_Q60 
 85.0645 0.539042 998564 998565 2 0.1        0.1          0  TikhGCV SYNA_synthetic_Q65 
 51.625 0.198633 367790 367790 2 0.1        0.1          0  TikhGCV SYNA_synthetic_Q70 
 74.5739 0.0169663 244696 244696 2 0.1        0.1          0  TikhGCV SYNA_synthetic_Bottom500 
 135.674 0.00760911 809931 809931 2 0.1        0.1          0  TikhGCV SYNB_synthetic_Bottom500 
 108.577 0.0101565 943125 943125 2 0.1        0.1          0  TikhGCV SYNB_synthetic_Bottom1000 
 93.2302 0.0267121 964797 964797 2 0.1        0.1          0  TikhGCV SYNB_synthetic_Bottom1500 
 87.0384 0.0713446 1.04544e+06 1.04544e+06 2 0.1        0.1          0  TikhGCV SYNB_synthetic_Bottom2000 
 87.2074 0.119329 1.23203e+06 1.23203e+06 2 0.1        0.1          0  TikhGCV SYNB_synthetic_Bottom2500 
 74.6966 0.0179052 245502 245502 2 0.1        0.1          0  TikhGCV SYNA_synthetic_Bottom500 
 59.7858 0.0218911 285947 285947 2 0.1        0.1          0  TikhGCV SYNA_synthetic_Bottom1000 
 53.1084 0.0653626 313076 313076 2 0.1        0.1          0  TikhGCV SYNA_synthetic_Bottom1500 
 51.5758 0.190316 367088 367088 2 0.1        0.1          0  TikhGCV SYNA_synthetic_Bottom2000 
